sku,product_state,state_source,evidence_first_month_units,evidence_last_month_units,evidence_max_monthly_increase
CHCHATOUGR080,active,HEURISTIC_PROXY,5.0,2.0,4.0
CHCHATOUGR130,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHCHATOUGR160,active,HEURISTIC_PROXY,5.0,1.0,5.0
CHCHATOUIV080,active,HEURISTIC_PROXY,13.0,0.0,4.0
CHCHATOUIV130,phase_out,HEURISTIC_PROXY,2.0,0.0,1.0
CHCHATOUIV160,phase_out,HEURISTIC_PROXY,6.0,0.0,0.0
CHCHATOUIV200,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
CHDAMASK090,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
CHDREUX080,phase_out,HEURISTIC_PROXY,6.0,1.0,0.0
CHDREUX130,phase_out,HEURISTIC_PROXY,3.0,1.0,1.0
CHDREUX160,phase_out,HEURISTIC_PROXY,9.0,2.0,0.0
CHDREUX200,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
CHDROPSBR160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHETTAGO080,phase_out,HEURISTIC_PROXY,5.0,1.0,0.0
CHETTAGO160,phase_out,HEURISTIC_PROXY,3.0,1.0,0.0
CHETTAGR080,phase_out,HEURISTIC_PROXY,4.0,1.0,0.0
CHETTAGR130,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
CHETTAIV080,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
CHETTATA080,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHETTATA160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHLONDONTE130,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHLONDONTE160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHPEPMU160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHPRISM130,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHRIBSGO160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CHRIBSLI090,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
CHRIBSLI160,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
CWBELLAGIO8854A200,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
CWBLOOM466117AK99080,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWCRYSTAL8084E80,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWFIRENZEB2007ABE60,active,HEURISTIC_PROXY,0.0,3.0,3.0
CWFIRENZENEW08154ABE80,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWFIRENZENEWBO871CR160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWINVISTAAB18AINK35160,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
CWINVISTAV788ING1280,active,HEURISTIC_PROXY,0.0,8.0,5.0
CWKASHQAI4327101135,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
CWKASHQAI432710180,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLAGE128IV120170,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLAGE89SI120,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLAGE89SI160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLAGE89SI60,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLEGEA03HEATH300,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLEGEA11BE160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLEGEA31GRAPH200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLEGEA37OLV140,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLEGIA103BEIGE133,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWLEGIA105DARKBEIGE100,phase_out,HEURISTIC_PROXY,1.0,0.0,1.0
CWLEGIA127MARINE200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWMATT56001170240,active,HEURISTIC_PROXY,0.0,0.0,3.0
CWOREGONZ431AORG37120,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
CWOREGONZ431AORG37200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWPARAGREY80,phase_out,HEURISTIC_PROXY,4.0,2.0,0.0
CWPIAZZO12263910120,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWSOHOWHITE120,active,HEURISTIC_PROXY,0.0,3.0,3.0
CWSOHOWHITE80,phase_out,HEURISTIC_PROXY,2.0,1.0,1.0
CWVERS19CR80300,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWVERS29CR155,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
CWVERS30WH80,active,HEURISTIC_PROXY,0.0,2.0,3.0
CWVERS32SI120R,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
CWVERS32SI80200,active,HEURISTIC_PROXY,0.0,3.0,3.0
